countryGroup,year,gdpPerCap
W,1992,4652.9644902194505
W,1993,4659.94023007651
W,1994,4928.95419880535
W,1995,5373.25407997118
W,1996,5411.50116719463
W,1997,5320.70052788681
W,1998,5227.47963540176
W,1999,5349.36991772622
W,2000,5448.71239334445
W,2001,5348.03145696493
W,2002,5485.1801531949
W,2003,6083.79640218017
W,2004,6769.32334203163
W,2005,7237.16268146081
W,2006,7744.75529110529
W,2007,8625.65432596553
W,2008,9340.8894381844
W,2009,8746.66237890258
W,2010,9481.63122530789
W,2011,10395.9034374444
W,2012,10498.4647021571
W,2013,10650.827319754
W,2014,10757.2925461901
UM,1992,1358.50125102439
UM,1993,1457.30055861916
UM,1994,1568.66203001828
UM,1995,1728.36390089414
UM,1996,1859.31351378635
UM,1997,1959.54796348173
UM,1998,1911.29455480846
UM,1999,1791.1886652002
UM,2000,1953.90906833057
UM,2001,1959.50725903969
UM,2002,1948.59018665427
UM,2003,2175.40363703875
UM,2004,2591.5978611986
UM,2005,3097.69468548897
UM,2006,3659.29018520975
UM,2007,4521.01206939213
UM,2008,5493.19969743165
UM,2009,5241.69805304256
UM,2010,6307.44310999334
UM,2011,7494.63212755856
UM,2012,7937.97945776897
UM,2013,8366.82788330489
UM,2014,8494.65401897263
LM,1992,467.593660782577
LM,1993,458.547504357487
LM,1994,489.289080804289
LM,1995,538.841595831853
LM,1996,579.816945494047
LM,1997,587.818905215584
LM,1998,522.039721844448
LM,1999,557.356793910206
LM,2000,578.283578203014
LM,2001,574.915027154662
LM,2002,605.937243438657
LM,2003,682.456202590781
LM,2004,766.905271602255
LM,2005,866.757375057807
LM,2006,1010.29845237659
LM,2007,1222.75890469196
LM,2008,1339.55145427785
LM,2009,1355.85296673845
LM,2010,1692.36315252317
LM,2011,1855.04906335996
LM,2012,1912.08868467307
LM,2013,1959.74460832297
LM,2014,2032.51391547354
L,1992,255.320712445244
L,1993,247.123768258387
L,1994,202.724574862903
L,1995,227.310041374837
L,1996,246.58326731402
L,1997,248.158943626365
L,1998,244.280510591841
L,1999,238.147658755462
L,2000,267.535708843178
L,2001,235.075580264602
L,2002,247.011251682419
L,2003,263.906129536892
L,2004,292.655693230277
L,2005,328.898361693566
L,2006,355.043579146187
L,2007,412.062309685841
L,2008,483.009312149351
L,2009,493.220721496126
L,2010,519.299915038857
L,2011,569.274050152703
L,2012,594.866886569934
L,2013,625.86770585635
L,2014,654.313111189467
H,1992,21130.8455356191
H,1993,21151.0132312854
H,1994,22504.5543961249
H,1995,24645.2334348948
H,1996,24687.671454419
H,1997,24146.6845979287
H,1998,24053.0834784891
H,1999,25102.2192276256
H,2000,25446.9465784257
H,2001,25045.3331453149
H,2002,25946.0642899226
H,2003,28912.5377762192
H,2004,31966.657617797
H,2005,33559.3971402432
H,2006,35175.8203433853
H,2007,38184.2423941525
H,2008,40220.8389942448
H,2009,37420.2051176881
