year,gdp,gdpGr,gdpPc
1991,23898464428048.7,1.3607495785664,4450.45698500378
1992,25374818246063.1,1.78630690275759,4652.9644902194505
1993,25805707315784.6,1.65951439217939,4659.94023007651
1994,27706373746783.0,3.02567758430278,4928.95419880535
1995,30658944469580.7,2.95654648538726,5373.25407997118
1996,31324994778851.4,3.3370733960281602,5411.50116719463
1997,31240755811189.6,3.75541250432399,5320.70052788681
1998,31122701749601.5,2.4451043776083,5227.47963540176
1999,32282974777802.4,3.30128364753858,5349.36991772622
2000,33321297208153.5,4.33414398486683,5448.71239334445
2001,33134207861323.5,1.9659644638665,5348.03145696493
2002,34418046864505.1,2.18156604643647,5485.1801531949
2003,38656298927512.4,2.89610891269048,6083.79640218017
2004,43552125346243.3,4.46070806507871,6769.32334203163
2005,47142587523753.3,3.82369355006267,7237.16268146081
2006,51074511683436.2,4.38289300514141,7744.75529110529
2007,57583425018506.1,4.30525937568875,8625.65432596553
2008,63128556653064.6,1.84353364588435,9340.8894381844
2009,59835529905240.6,-1.67878595459986,8746.66237890258
2010,65647819210535.0,4.347459640127,9481.63122530789
2011,72843138849548.9,3.12976442580168,10395.9034374444
2012,74428356862439.7,2.47615230699252,10498.4647021571
2013,76431318769141.1,2.39765228055862,10650.827319754
2014,78106337567715.3,2.6299875759084,10757.2925461901
